Open,High,Low,Close,Adj_close,Volume,Date,Stock_Name
83.300003,83.57,81.660004,82.970001,78.725479,1963800.0,2019-03-05T00:00:00,COF
82.760002,83.459999,82.489998,82.510002,78.289024,1713300.0,2019-03-06T00:00:00,COF
82.220001,82.290001,80.809998,81.279999,77.121948,3035600.0,2019-03-07T00:00:00,COF
80.440002,81.43,80.080002,81.370003,77.207352,2111600.0,2019-03-08T00:00:00,COF
81.959999,83.260002,81.860001,82.849998,78.611626,2926600.0,2019-03-11T00:00:00,COF
82.989998,84.029999,82.739998,82.949997,78.706512,2153200.0,2019-03-12T00:00:00,COF
83.360001,84.330002,83.199997,83.739998,79.456085,1779500.0,2019-03-13T00:00:00,COF
83.620003,83.949997,83.190002,83.209999,78.953217,1794900.0,2019-03-14T00:00:00,COF
83.110001,84.519997,82.93,84.330002,80.015923,2993500.0,2019-03-15T00:00:00,COF
84.540001,85.620003,84.370003,84.900002,80.556763,2529600.0,2019-03-18T00:00:00,COF
85.379997,85.870003,84.160004,84.410004,80.09182,2342100.0,2019-03-19T00:00:00,COF
84.129997,84.230003,82.790001,82.949997,78.706512,2462100.0,2019-03-20T00:00:00,COF
82.199997,83.510002,81.480003,82.889999,78.649567,2569500.0,2019-03-21T00:00:00,COF
82.139999,82.269997,79.68,80.0,75.907425,3119800.0,2019-03-22T00:00:00,COF
79.860001,80.489998,78.449997,79.360001,75.300171,2327500.0,2019-03-25T00:00:00,COF
80.0,80.68,79.419998,80.660004,76.533676,1668600.0,2019-03-26T00:00:00,COF
80.379997,80.970001,79.82,80.07,75.973846,1902000.0,2019-03-27T00:00:00,COF
80.330002,81.059998,80.050003,80.959999,76.818314,1268600.0,2019-03-28T00:00:00,COF
81.739998,82.330002,81.419998,81.690002,77.510979,2945600.0,2019-03-29T00:00:00,COF
82.349998,84.879997,82.269997,84.480003,80.158241,3036500.0,2019-04-01T00:00:00,COF
84.5,85.57,84.010002,84.68,80.348015,2342100.0,2019-04-02T00:00:00,COF
85.110001,86.199997,84.93,85.309998,80.945786,2852600.0,2019-04-03T00:00:00,COF
85.519997,86.739998,85.120003,86.699997,82.264679,2137200.0,2019-04-04T00:00:00,COF
87.0,87.25,85.900002,86.540001,82.112862,1554000.0,2019-04-05T00:00:00,COF
85.800003,86.139999,85.290001,86.040001,81.638435,2023200.0,2019-04-08T00:00:00,COF
85.5,85.709999,84.589996,85.099998,80.746521,1212100.0,2019-04-09T00:00:00,COF
85.269997,85.779999,84.529999,85.629997,81.249405,1413200.0,2019-04-10T00:00:00,COF
86.120003,86.690002,85.620003,86.25,81.8377,1390900.0,2019-04-11T00:00:00,COF
87.349998,88.690002,86.940002,87.830002,83.336868,1637100.0,2019-04-12T00:00:00,COF
87.809998,87.949997,86.550003,86.879997,82.435471,1215400.0,2019-04-15T00:00:00,COF
87.449997,88.349998,87.029999,87.910004,83.412781,1888400.0,2019-04-16T00:00:00,COF
88.099998,88.25,87.300003,87.919998,83.422264,2337000.0,2019-04-17T00:00:00,COF
87.709999,88.290001,87.5,88.110001,83.602547,1413900.0,2019-04-18T00:00:00,COF
87.870003,88.230003,87.309998,87.610001,83.128128,1060800.0,2019-04-22T00:00:00,COF
87.809998,88.639999,87.400002,88.190002,83.678459,1789000.0,2019-04-23T00:00:00,COF
88.0,88.610001,87.529999,87.790001,83.29892,1759900.0,2019-04-24T00:00:00,COF
87.709999,88.760002,87.370003,88.050003,83.545616,2135600.0,2019-04-25T00:00:00,COF
90.699997,94.139999,90.699997,93.730003,88.935043,4310300.0,2019-04-26T00:00:00,COF
93.849998,94.379997,92.279999,92.379997,87.654106,2466400.0,2019-04-29T00:00:00,COF
93.019997,93.260002,91.580002,92.830002,88.081085,2211300.0,2019-04-30T00:00:00,COF
92.559998,93.489998,92.239998,92.580002,87.843872,2210800.0,2019-05-01T00:00:00,COF
92.660004,93.260002,92.150002,92.919998,88.166481,2062700.0,2019-05-02T00:00:00,COF
93.220001,94.300003,93.120003,94.260002,89.437927,1694500.0,2019-05-03T00:00:00,COF
92.050003,94.080002,91.879997,93.610001,88.821175,2208400.0,2019-05-06T00:00:00,COF
92.410004,92.610001,90.900002,91.599998,86.914017,1901500.0,2019-05-07T00:00:00,COF
91.18,91.650002,90.169998,90.220001,85.604607,2183300.0,2019-05-08T00:00:00,COF
89.120003,90.349998,88.370003,90.199997,85.585625,2240800.0,2019-05-09T00:00:00,COF
89.650002,90.769997,88.32,90.389999,86.147942,1348800.0,2019-05-10T00:00:00,COF
88.489998,88.879997,87.32,87.540001,83.431694,1819400.0,2019-05-13T00:00:00,COF
88.239998,90.050003,88.099998,89.260002,85.070969,1640700.0,2019-05-14T00:00:00,COF
88.300003,90.059998,87.239998,89.379997,85.185341,1900000.0,2019-05-15T00:00:00,COF
89.870003,91.559998,89.870003,90.980003,86.710243,1631000.0,2019-05-16T00:00:00,COF
90.029999,91.379997,89.93,90.540001,86.290894,1518100.0,2019-05-17T00:00:00,COF
90.410004,91.879997,90.0,91.379997,87.091469,1460100.0,2019-05-20T00:00:00,COF
91.970001,92.269997,91.599998,92.199997,87.872993,1859200.0,2019-05-21T00:00:00,COF
91.660004,92.160004,91.25,91.260002,86.977112,1117200.0,2019-05-22T00:00:00,COF
90.410004,90.410004,88.599998,89.25,85.061432,1584300.0,2019-05-23T00:00:00,COF
89.870003,90.879997,89.730003,90.779999,86.519638,1175700.0,2019-05-24T00:00:00,COF
90.360001,90.910004,88.690002,88.75,84.584908,2016500.0,2019-05-28T00:00:00,COF
88.220001,89.559998,87.550003,89.440002,85.242531,1605000.0,2019-05-29T00:00:00,COF
89.550003,90.199997,87.669998,88.349998,84.203667,1376400.0,2019-05-30T00:00:00,COF
87.220001,87.580002,85.720001,85.870003,81.840057,2785100.0,2019-05-31T00:00:00,COF
85.980003,87.419998,85.870003,87.080002,82.993279,2050000.0,2019-06-03T00:00:00,COF
88.370003,89.940002,87.989998,89.919998,85.699989,2047400.0,2019-06-04T00:00:00,COF
90.0,90.199997,88.519997,89.900002,85.680939,1666600.0,2019-06-05T00:00:00,COF
89.800003,90.669998,89.610001,90.360001,86.119347,1474500.0,2019-06-06T00:00:00,COF
90.160004,90.949997,90.040001,90.260002,86.024048,1296200.0,2019-06-07T00:00:00,COF
90.919998,91.739998,90.360001,90.43,86.186058,1402800.0,2019-06-10T00:00:00,COF
91.309998,92.239998,90.980003,91.339996,87.05336,1194400.0,2019-06-11T00:00:00,COF
91.379997,91.709999,90.010002,90.550003,86.30043,1011000.0,2019-06-12T00:00:00,COF
90.599998,91.440002,90.489998,90.769997,86.510086,1313300.0,2019-06-13T00:00:00,COF
91.0,91.0,89.580002,90.57,86.319489,1310000.0,2019-06-14T00:00:00,COF
90.57,91.050003,89.739998,89.949997,85.728577,1416800.0,2019-06-17T00:00:00,COF
90.0,91.870003,89.900002,91.290001,87.005714,2205600.0,2019-06-18T00:00:00,COF
91.419998,92.040001,90.220001,90.480003,86.233711,1715500.0,2019-06-19T00:00:00,COF
91.559998,91.940002,90.5,91.629997,87.329742,1365300.0,2019-06-20T00:00:00,COF
91.730003,92.360001,90.839996,91.519997,87.224899,3195400.0,2019-06-21T00:00:00,COF
91.0,91.18,87.989998,88.720001,84.556313,3038200.0,2019-06-24T00:00:00,COF
88.57,89.720001,88.07,88.82,84.651619,1859200.0,2019-06-25T00:00:00,COF
89.0,89.709999,88.650002,89.379997,85.185341,1559000.0,2019-06-26T00:00:00,COF
89.589996,90.389999,88.989998,89.330002,85.137695,1439600.0,2019-06-27T00:00:00,COF
90.209999,91.089996,89.339996,90.739998,86.481491,3156300.0,2019-06-28T00:00:00,COF
92.300003,92.830002,91.230003,92.040001,87.72052,1732900.0,2019-07-01T00:00:00,COF
91.800003,91.970001,90.629997,91.099998,86.824608,1637900.0,2019-07-02T00:00:00,COF
91.779999,93.0,91.550003,92.989998,88.625923,1297000.0,2019-07-03T00:00:00,COF
